,addressLine,description,name,pizzaName
0,2486 N Federal Hwy,"Special blend of ricotta and mozzarella, grated cheese, italian spices, asiago and fontanina",Disalvo's Pizza Italian Restaurant,White Pizza
1,510 S Mason Rd,Ricotta cheese and mozzarella,Maaco Collision Repair & Auto Painting,White Pizza
2,1604 N State Highway 161,"Ricotta Cheese, Mozzarella Cheese",Mr Jims Pizza Inc,White Pizza
3,2605 Lawndale Dr,"broccoli, ricotta, mozzarella and olive oil (no tomato sauce)",Positano - Greensboro,Pizza Bianca
4,1514 Us 41,"Arugula, prosciutto, olive oil (no sauce).",Ciao Bella,Pizza Bianca
5,Thames St,"Mozzarella, parmigiano, ricotto, Italian fontina and fresh basil",Life Is Good Store,All White Pizza
6,35 S Main St,"Ricotta and parmesan cheese, garlic and herbs.",J & G Restaurant,White Pizza (medium)
7,6280 W Sample Rd,"Ricotta cheese, pecorino romano cheese, mozzarella cheese and fresh garlic (no tomato sauce)",Sal's Italian Ristorante,White Pizza
8,2905 Goose Creek Rd,"Our white pizza offers a break from the traditional pizza. it starts off with our own hand tossed dough, covered in aglio e olio sauce, then topped with mozzarella and ricotta cheese",Spinelli's Pizza,White Pizza
9,20850 Sheldon Rd,"Olive oil, fresh garlic, basil and oregano with your choice of toppings",Donte's Restaurant & Pizza Shop,White Pizza
10,1605 Kanawha Blvd W,"Alfredo sauce, grilled chicken, broccoli, garlic, mozzarella cheese topped with alfredo sauce.",Sicilia's Pizzeria,White Suicilian Stuffed Pizza
11,11165 S Eastern Ave,"Fresh mozzarella, fresh parmesan and fresh garlic",Joey's N Y Pizza,White Pizza
12,572 2nd Ave,A verdile specialty,Verdile's,Pizza Bianca
13,Harrisonburg Va,"White pizza with fresh tomato, broccoli, basil, parmigiana cheese, and a touch of roast garlic",Tutti Gusti,Pizza Bianca
14,1032 Old Peachtree Rd N W,"Topped with ricotta cheese, garlic, olive oil, mozzarella cheese, and fresh parsley.",Hair Like Before,Bianco White Pizza
15,801 Islington St,Extra virgin oil and fresh garlic with ricotta cheese as a base topped with our cheese blend.,Ken's West End Pizza,White Pizza
16,107 Driving Park Ave,Topped with seasoning and imported olive on same pricing as our conventional pizzas.,Mr Shoes Pizza,Mr. Shoes White Pizza
17,111 Lawrence Rd,Classic cheese or create your own pizza.,Nino's Trattoria & Pizzeria,White Pizza
18,3223 E Camelback Rd,"Mozzarella, fontina cheese, potato, pancetta, shallots, evoo",Tommy V's Osteria Pizzeria,Pizza Bianca (without Tomato Sauce)
19,924 W 436,Large,Jerry's Pizza & Subs,Bianca Pizza
20,25431 Trabuco Rd,"Ricotta cheese, fresh tomatoes, fresh garlic, oregano and mozzarella cheese",Ameci Pizza & Pasta,White Knight Pizza
21,35 S Main St,"Ricotta and parmesan cheese, garlic and herbs.",J & G Restaurant,White Pizza (small)
22,399 Main St,"Basil, tomato, garlic and mozzarella",Toni's By George,White Pizza (no Sauce)
23,14 Scott Adam Rd,"Chicken breast, portabella mushrooms, broccoli, olive oil, basil, ricotta and mozzarella cheese.",Original Giorgio's,Monte Carlo Pizza (white)
24,Mid Vail Area On Vail Mtn,"Bacon, Onions, Jumpin Good Goat Farms Feta, Thyme, Pepperoncini",The 10th,White Pizza
25,19065 Beach Blvd,"Broccoli, mushrooms, tomatoes, onions, green peppers, garlic and mozzarella cheese",Two Brothers Pizza,White Veggie Pizza
26,2605 Lawndale Dr,"mozzarella and ricotta with broccoli, sauteed garlic, no sauce.",Positano - Greensboro,White Pizza (pizza Bianca)
27,7301 N Fm 620,"Alfredo sauce, mozzarella, and provolone cheese .",Austin's Pizza,The White Pizza
28,19065 Beach Blvd,"Broccoli, tomatoes, garlic and mozzarella cheese",Two Brothers Pizza,White Broccoli and Tomato Pizza
29,340 W Broad St,With ricotta and mozzarella cheese.,Francesco Pizzeria and Ristorante,White Pizza
30,133 Back River Neck Rd,Greek style pizza,Prima Pizza,White Pizza
31,40 West St,"Parmesan cheese, olive oil, fresh garlic, mozzarella cheese",Stone and Paddle,White Pizza (great For Kids)
32,562 Broad St,"Mozzarella, ricotta and parmesan cheeses, artichoke hearts, garlic and herbs.",Broad Street Cafe,Pizza Bianca
33,12274 Rockville Pike,Traditional plain,Mamma Lucia,White Pizza
34,120 E Post Rd,"Ricotta, Mozzarella and Garlic",Euro Pizzeria,White Pizza
35,200 Oak Hill Ave,"Mozzarella cheese, ricotta and prosciutto, gourmet as gourmet can be",Joey's Northside Pizzeria,Pizza Bianco (white Pizza)
36,4261 Griffin Rd,Ricotta and mozzarella cheese with a hint of olive oil.,"Mineo's Wings, Pizza & Raw Bar",White Pizza
37,1263 7th St,"Fresh tomato, garlic, and onion",San Biagio's Pizza,New White Pizza
38,One Leo Fraser Dr,"With Arugula, Pancetta, and Caramelized Onions",Atlantic City Country Club - Taproom Bar & Grille,Roasted Garlic White Pizza
39,3601 Main St,"Alfredo sauce, grilled chicken, broccoli, garlic, mozzarella cheese topped with alfredo sauce.",Sicilia's Pizzeria,White Suicilian Thin Crust Pizza
40,258 Deer Park Ave,"Neopolitian White Pizza With Sauce or NO Sauce (Your choice, please specify)",Gino's Pizza of Babylon,White Pizza
41,711 N 132nd St,"Mozzarella, ricotta, garlic, no sauce",Frank's Pizzeria,White Pizza
42,One Leo Fraser Dr,"With Fresh Mozzarella, Locatelli Romano and Asiago Cheeses",Atlantic City Country Club - Taproom Bar & Grille,Three Cheese White Pizza
43,2771 E Broad St,"Mozzarella cheese, ricotta cheese, garlic, fresh tomatoes, olive oil, fresh oregano",Yogurt Zone,White Pizza
44,1001 Jason Pl,"Mozzarella, ricotta and parmesan cheeses",Antonio's Pizza,White Pizza
45,105 E Main St,"Topped with olive oil, fresh garlic, parmigiano and our special blend of mozzarella cheese.",Palace Pizza Bartow,White Garlic Pizza
46,258 Deer Park Ave,"Deep Dish Pie (no sauce, sauce available upon request)",Gino's Pizza of Babylon,Deep Dish White Pizza
47,361 W Main St,For all you cheese lovers.,Uncle Buck's BBQ,White Pizza
48,103 N State Rd,"Ricotta, Mozzarella and Garlic",Euro Pizza,White Pizza
49,1605 Kanawha Blvd W,"Alfredo sauce, grilled chicken, broccoli, garlic, mozzarella cheese topped with alfredo sauce.",Sicilia's Pizzeria,White Suicilian Thin Crust Pizza
50,1042 Union Rd,Garlic roll baked with mozzarella onions and tomato.,Brando's Pizza,White Pizza Sub
51,1495 Union Ave,Mozzarella and Ricotta,Little Italy Pizza,White Pizza
52,14 Scott Adam Rd,"Garlic sauce, spinach, ricotta and mozzarella.",Original Giorgio's,White Pizza
53,74 225 Hwy 111,"(No tomato sauce) Olive oil, garlic, basil, mozzarella, and ricotta cheese.",Manhattan In The Desert - Palm Desert,Manhattan White Pizza
54,117 Broad St,With Broccoli,Romeo S Pizza,White Pizza
55,134 N Wayne Ave,"Mozzarella cheese, basil garlic, oregano, olive oil",Vecchia - Wayne,White Pizza
56,Mcdermott,"Alfredo sauce, fresh spinach, red bell pepper, fresh garlic, broccoli and mozzarella cheese",Cvs/pharmacy,White Pizza
57,Madison St,"Provolone cheese, garlic, olive oil, sliced tomatoes (may substitute another topping)",Sir Pizza,White Pizza
58,3601 Main St,"Alfredo sauce, grilled chicken, broccoli, garlic, mozzarella cheese topped with alfredo sauce.",Sicilia's Pizzeria,White Suicilian Stuffed Pizza
59,3502 Park Ave,With broccoli or tomatoes,7 Day 24 Hours Emergency Locks,White Pizza
60,1809 1 W Anderson Ln,"Alfredo sauce, smoked provolone, artichoke hearts, mushrooms, spinach",Zi's Pizza,White Pizza
61,35 S Main St,"Ricotta and parmesan cheese, garlic and herbs.",J & G Restaurant,White Pizza
62,2495 Harrisburg Pike,"14 in. with Olive Oil, Fresh Garlic, and Cheese",River House Bar & Grill,White Pizza
63,1751 Scottsville Rd,Personal pizza with up to five vegetables (see pizza menu for toppings),Geno's Deli,Pizza Bianca
64,19065 Beach Blvd,"Bacon, tomatoes, garlic and mozzarella cheese",Two Brothers Pizza,White Bacon and Tomato Pizza
65,211 N Cortez,"Olive Oil, Minced Garlic, Fresh Basil and Seasoned Ricotta Cheese",Two Mamas Gourmet,White Pizza
66,105 E Main St,Pizza topped with your choice of nay five of our fresh vegetable toppings smothered.,Palace Pizza Bartow,Vegetarian White Pizza
67,9563 Kings Charter Doctor B,"ricotta, mozzarella, spinach, garlic, tomatoes",Guidos,White Pizza
